Name,($) Per Unit,Created time,Email,Phone,Products,Supplier Notes
Supermercado Líder,,24 de octubre de 2025 12:54,EMAIL@example.com,(555) 891-1234,,
Supermercado A Cuenta,,24 de octubre de 2025 12:54,EMAIL@example.com,(555) 891-1234,"Frasco de pepinillos (Frasco%20de%20pepinillos%20296d130d394e8137af96f29bae5716d9.md), Arrollado (20 láminas) (Arrollado%20(20%20l%C3%A1minas)%20296d130d394e81199688fe3fd35230c8.md)",
Supermecado Super Ganga,,24 de octubre de 2025 12:54,EMAIL@example.com,(555) 891-1234,"Jugos individuales (Jugos%20individuales%20296d130d394e81138ae9eac481adf11b.md), Arroz (Arroz%20296d130d394e81fcbf31ed978c5a789e.md), Galletas individuales (Galletas%20individuales%20296d130d394e8118be49c168f34c4362.md), Flan (Flan%20296d130d394e81a9aed9d9f7ae20caee.md), Stevia (Stevia%20296d130d394e81c09a32d66f21c6cc3a.md), Caja de té 100 un (Caja%20de%20t%C3%A9%20100%20un%20296d130d394e81109c9ac66b8cfb4bce.md), Azucar 5kg (Azucar%205kg%202a2d130d394e8090adbfc7319da1d167.md), Aceite de 5 L (Aceite%20de%205%20L%20296d130d394e81bea727c7a27a69ded1.md), Toalla nova (Toalla%20nova%20296d130d394e81aaaae5c0e06a0ed2a1.md)",
Soriak,,24 de octubre de 2025 12:54,,,"Detergentes (Detergentes%20296d130d394e810e8628c30f30878f50.md), Lavaloza (Lavaloza%20296d130d394e8121acdcfcc2d0ccd10c.md), Limpia vidrios (Limpia%20vidrios%20296d130d394e814a9f7ad58640c79aa3.md), Cloro (Cloro%20296d130d394e81fdaba9f0f765c93cef.md), Limpia piso (Limpia%20piso%20296d130d394e81dc9e11fc5ee3770d76.md), Jabon liquido (Jabon%20liquido%202bcd130d394e809daf6beb53ed0ec6fb.md)",
"La estrella ",,24 de octubre de 2025 12:54,,938972995,,
FRIOSORNO,,9 de diciembre de 2025 15:43,,+56 9 7759 9546,"Carne molida (Carne%20molida%20296d130d394e814c967bf4b2da70b3f8.md), bolsas de Churrasco (bolsas%20de%20Churrasco%202a2d130d394e80b49b38e6bc56370fd1.md), Tapapecho (Tapapecho%20296d130d394e8169917defdc81caa7c0.md), Huachalomo (Huachalomo%20296d130d394e813692a4cb84c3f7bfcd.md), Asado de tira (Asado%20de%20tira%20296d130d394e8169bf03e6e13077d6df.md), Tutos de pollo (Tutos%20de%20pollo%20296d130d394e8125807eedb4045185c8.md), Punta picana (Punta%20picana%20296d130d394e81b9a1e0cb04d8368a8e.md), Churrascos de pollo (Churrascos%20de%20pollo%202d2d130d394e8066a3bcd2294dbbd3e5.md)",
